Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
5.24	0.030914273	0.030084426	0.035803992	0.021326127	0.021629448	0.00020534876	0.03486694	
5.25	0.030804117	0.029978951	0.035699487	0.021228331	0.02158992	0.00020496567	0.034759031	
5.26	0.030694499	0.02987398	0.035595489	0.021131077	0.021550537	0.00020458402	0.034651649	
5.27	0.030585416	0.029769511	0.035491995	0.021034362	0.021511298	0.00020420378	0.034544791	
5.28	0.030476864	0.029665541	0.035389003	0.020938182	0.021472201	0.00020382495	0.034438454	
5.29	0.03036884	0.029562067	0.03528651	0.020842534	0.021433247	0.00020344753	0.034332634	
5.3	0.030261341	0.029459087	0.035184513	0.020747414	0.021394434	0.0002030715	0.034227329	
5.31	0.030154365	0.029356597	0.035083009	0.02065282	0.021355761	0.00020269686	0.034122536	
5.32	0.030047908	0.029254595	0.034981995	0.020558747	0.021317229	0.0002023236	0.034018252	
5.33	0.029941967	0.029153079	0.03488147	0.020465193	0.021278835	0.00020195172	0.033914474	
5.34	0.02983654	0.029052045	0.034781429	0.020372153	0.02124058	0.0002015812	0.033811199	
5.35	0.029731623	0.028951491	0.034681871	0.020279626	0.021202462	0.00020121204	0.033708424	
5.36	0.029627214	0.028851415	0.034582792	0.020187607	0.021164482	0.00020084423	0.033606146	
5.37	0.029523309	0.028751813	0.03448419	0.020096094	0.021126637	0.00020047776	0.033504364	
5.38	0.029419907	0.028652683	0.034386063	0.020005083	0.021088928	0.00020011262	0.033403072	
5.39	0.029317003	0.028554022	0.034288408	0.01991457	0.021051353	0.00019974882	0.03330227	
5.4	0.029214596	0.028455828	0.034191221	0.019824554	0.021013912	0.00019938634	0.033201954	
5.41	0.029112681	0.028358098	0.034094501	0.01973503	0.020976605	0.00019902517	0.033102122	
5.42	0.029011257	0.02826083	0.033998245	0.019645996	0.020939429	0.0001986653	0.03300277	
5.43	0.028910321	0.028164021	0.03390245	0.019557448	0.020902386	0.00019830674	0.032903896	
5.44	0.02880987	0.028067669	0.033807114	0.019469384	0.020865474	0.00019794947	0.032805497	
5.45	0.028709901	0.02797177	0.033712234	0.0193818	0.020828692	0.00019759349	0.03270757	
5.46	0.028610411	0.027876323	0.033617807	0.019294693	0.02079204	0.00019723878	0.032610114	
5.47	0.028511398	0.027781325	0.033523832	0.01920806	0.020755517	0.00019688535	0.032513124	
5.48	0.028412859	0.027686773	0.033430305	0.019121899	0.020719122	0.00019653318	0.032416599	
