Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
9.73	0.00907701	0.00895876	0.01525651	0.00377710	
9.74	0.00905801	0.00894016	0.01523949	0.00376447	
9.75	0.00903907	0.00892161	0.01522253	0.00375189	
9.76	0.00902018	0.00890312	0.01520563	0.00373935	
9.77	0.00900136	0.00888469	0.01518878	0.00372686	
9.78	0.00898259	0.00886632	0.01517199	0.00371442	
9.79	0.00896388	0.00884800	0.01515526	0.00370203	
9.8	0.00894522	0.00882974	0.01513858	0.00368968	
9.81	0.00892663	0.00881153	0.01512197	0.00367738	
9.82	0.00890809	0.00879338	0.01510541	0.00366512	
9.83	0.00888960	0.00877528	0.01508890	0.00365291	
9.84	0.00887118	0.00875723	0.01507245	0.00364075	
9.85	0.00885280	0.00873924	0.01505606	0.00362863	
9.86	0.00883449	0.00872131	0.01503972	0.00361656	
9.87	0.00881623	0.00870343	0.01502344	0.00360453	
9.88	0.00879803	0.00868560	0.01500722	0.00359254	
9.89	0.00877988	0.00866783	0.01499104	0.00358060	
9.9	0.00876178	0.00865011	0.01497493	0.00356871	
9.91	0.00874374	0.00863244	0.01495887	0.00355685	
9.92	0.00872576	0.00861483	0.01494286	0.00354505	
9.93	0.00870783	0.00859727	0.01492691	0.00353328	
9.94	0.00868995	0.00857976	0.01491101	0.00352156	
9.95	0.00867213	0.00856230	0.01489517	0.00350989	
9.96	0.00865436	0.00854490	0.01487937	0.00349825	
9.97	0.00863665	0.00852755	0.01486364	0.00348666	
9.98	0.00861899	0.00851025	0.01484795	0.00347512	
9.99	0.00860138	0.00849300	0.01483232	0.00346361	
10	0.00858382	0.00847580	0.01481674	0.00345215	
