Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
2.9	0.07814925	0.07428091	0.07995196	0.06841783	
2.91	0.07786232	0.07402097	0.07969172	0.06809432	
2.92	0.07757498	0.07376049	0.07943089	0.06777116	
2.93	0.07728729	0.07349950	0.07916953	0.06744838	
2.94	0.07699929	0.07323805	0.07890769	0.06712603	
2.95	0.07671103	0.07297620	0.07864542	0.06680414	
2.96	0.07642257	0.07271399	0.07838276	0.06648276	
2.97	0.07613395	0.07245147	0.07811976	0.06616192	
2.98	0.07584522	0.07218868	0.07785648	0.06584166	
2.99	0.07555642	0.07192567	0.07759296	0.06552201	
3	0.07526759	0.07166248	0.07732923	0.06520302	
3.01	0.07497877	0.07139914	0.07706535	0.06488470	
3.02	0.07469002	0.07113571	0.07680135	0.06456709	
3.03	0.07440135	0.07087221	0.07653727	0.06425023	
3.04	0.07411282	0.07060868	0.07627315	0.06393414	
3.05	0.07382446	0.07034517	0.07600903	0.06361885	
3.06	0.07353630	0.07008170	0.07574495	0.06330439	
3.07	0.07324838	0.06981831	0.07548094	0.06299078	
3.08	0.07296074	0.06955503	0.07521703	0.06267804	
3.09	0.07267340	0.06929190	0.07495327	0.06236621	
3.1	0.07238639	0.06902894	0.07468967	0.06205531	
3.11	0.07209975	0.06876619	0.07442627	0.06174535	
3.12	0.07181351	0.06850368	0.07416310	0.06143636	
3.13	0.07152769	0.06824142	0.07390020	0.06112836	
3.14	0.07124232	0.06797946	0.07363758	0.06082137	
3.15	0.07095743	0.06771782	0.07337528	0.06051540	
3.16	0.07067304	0.06745651	0.07311332	0.06021048	
3.17	0.07038918	0.06719558	0.07285173	0.05990662	
3.18	0.07010587	0.06693504	0.07259053	0.05960384	
3.19	0.06982313	0.06667491	0.07232975	0.05930216	
3.2	0.06954100	0.06641522	0.07206940	0.05900158	
3.21	0.06925947	0.06615598	0.07180952	0.05870212	
3.22	0.06897859	0.06589723	0.07155013	0.05840381	
3.23	0.06869837	0.06563898	0.07129124	0.05810664	
3.24	0.06841883	0.06538125	0.07103287	0.05781063	
3.25	0.06813998	0.06512405	0.07077504	0.05751580	
3.26	0.06786184	0.06486742	0.07051778	0.05722215	
3.27	0.06758444	0.06461135	0.07026111	0.05692969	
3.28	0.06730778	0.06435588	0.07000503	0.05663844	
3.29	0.06703189	0.06410102	0.06974956	0.05634841	
3.3	0.06675678	0.06384679	0.06949473	0.05605959	
3.31	0.06648246	0.06359319	0.06924054	0.05577201	
3.32	0.06620895	0.06334024	0.06898702	0.05548567	
3.33	0.06593626	0.06308797	0.06873417	0.05520057	
3.34	0.06566441	0.06283638	0.06848202	0.05491673	
3.35	0.06539340	0.06258548	0.06823057	0.05463415	
3.36	0.06512325	0.06233529	0.06797984	0.05435283	
3.37	0.06485397	0.06208582	0.06772984	0.05407278	
3.38	0.06458558	0.06183708	0.06748058	0.05379401	
3.39	0.06431807	0.06158909	0.06723207	0.05351652	
3.4	0.06405147	0.06134185	0.06698433	0.05324031	
3.41	0.06378578	0.06109537	0.06673736	0.05296540	
3.42	0.06352100	0.06084967	0.06649118	0.05269177	
3.43	0.06325716	0.06060475	0.06624579	0.05241945	
3.44	0.06299426	0.06036062	0.06600121	0.05214842	
3.45	0.06273230	0.06011729	0.06575744	0.05187869	
3.46	0.06247130	0.05987478	0.06551449	0.05161027	
3.47	0.06221125	0.05963308	0.06527237	0.05134315	
