Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	
3.61	0.058674619	0.056338817	0.061973517	0.04774101	0.030846085	7.3187731e-06	
3.62	0.058429605	0.056110117	0.061744584	0.047493523	0.030765485	7.2962505e-06	
3.63	0.058185621	0.055882318	0.061516566	0.047247338	0.030685308	7.2738531e-06	
3.64	0.05794267	0.055655425	0.061289467	0.047002453	0.030605551	7.2515799e-06	
3.65	0.057700754	0.05542944	0.061063287	0.046758864	0.030526211	7.2294299e-06	
3.66	0.057459873	0.055204364	0.060838032	0.04651657	0.030447285	7.2074022e-06	
3.67	0.057220031	0.054980202	0.060613701	0.046275568	0.03036877	7.1854959e-06	
3.68	0.056981227	0.054756955	0.060390299	0.046035856	0.030290661	7.1637101e-06	
3.69	0.056743463	0.054534624	0.060167826	0.04579743	0.030212957	7.1420439e-06	
3.7	0.05650674	0.054313212	0.059946284	0.045560288	0.030135653	7.1204964e-06	
3.71	0.056271058	0.05409272	0.059725676	0.045324427	0.030058747	7.0990667e-06	
3.72	0.056036418	0.05387315	0.059506001	0.045089843	0.029982236	7.077754e-06	
3.73	0.05580282	0.053654502	0.059287262	0.044856533	0.029906116	7.0565573e-06	
3.74	0.055570264	0.053436778	0.059069459	0.044624493	0.029830385	7.0354759e-06	
3.75	0.055338751	0.053219979	0.058852594	0.04439372	0.029755039	7.0145088e-06	
3.76	0.05510828	0.053004105	0.058636666	0.044164211	0.029680076	6.9936552e-06	
3.77	0.05487885	0.052789157	0.058421677	0.043935961	0.029605492	6.9729143e-06	
3.78	0.054650462	0.052575135	0.058207626	0.043708966	0.029531285	6.9522853e-06	
3.79	0.054423114	0.052362039	0.057994514	0.043483222	0.029457452	6.9317673e-06	
3.8	0.054196806	0.05214987	0.057782341	0.043258726	0.02938399	6.9113595e-06	
3.81	0.053971536	0.051938627	0.057571107	0.043035473	0.029310896	6.8910611e-06	
3.82	0.053747305	0.051728311	0.057360811	0.042813459	0.029238167	6.8708713e-06	
3.83	0.05352411	0.051518921	0.057151453	0.04259268	0.029165801	6.8507893e-06	
3.84	0.053301951	0.051310456	0.056943033	0.04237313	0.029093795	6.8308143e-06	
3.85	0.053080825	0.051102917	0.05673555	0.042154806	0.029022146	6.8109455e-06	
3.86	0.052860731	0.050896301	0.056529003	0.041937702	0.028950851	6.7911823e-06	
3.87	0.052641669	0.05069061	0.056323391	0.041721815	0.028879908	6.7715237e-06	
3.88	0.052423635	0.050485841	0.056118714	0.041507139	0.028809315	6.751969e-06	
3.89	0.052206628	0.050281993	0.05591497	0.04129367	0.028739068	6.7325175e-06	
3.9	0.051990647	0.050079066	0.055712159	0.041081403	0.028669165	6.7131685e-06	
3.91	0.051775688	0.049877058	0.055510278	0.040870333	0.028599603	6.6939212e-06	
3.92	0.05156175	0.049675968	0.055309326	0.040660454	0.02853038	6.6747748e-06	
3.93	0.051348831	0.049475795	0.055109302	0.040451763	0.028461494	6.6557286e-06	
3.94	0.051136928	0.049276537	0.054910205	0.040244253	0.028392942	6.636782e-06	
3.95	0.050926039	0.049078192	0.054712032	0.04003792	0.028324722	6.6179341e-06	
3.96	0.050716161	0.048880759	0.054514782	0.039832759	0.02825683	6.5991843e-06	
3.97	0.050507293	0.048684236	0.054318453	0.039628764	0.028189266	6.5805319e-06	
3.98	0.05029943	0.048488621	0.054123043	0.03942593	0.028122025	6.5619762e-06	
3.99	0.050092571	0.048293913	0.05392855	0.039224252	0.028055107	6.5435165e-06	
4	0.049886712	0.048100108	0.053734972	0.039023725	0.027988508	6.5251521e-06	
4.01	0.049681851	0.047907206	0.053542307	0.038824343	0.027922227	6.5068823e-06	
4.02	0.049477985	0.047715204	0.053350553	0.0386261	0.02785626	6.4887065e-06	
4.03	0.04927511	0.047524099	0.053159706	0.038428992	0.027790607	6.4706239e-06	
4.04	0.049073225	0.04733389	0.052969766	0.038233013	0.027725264	6.452634e-06	
4.05	0.048872325	0.047144575	0.052780729	0.038038158	0.027660229	6.434736e-06	
4.06	0.048672407	0.04695615	0.052592593	0.037844421	0.027595501	6.4169294e-06	
4.07	0.048473469	0.046768613	0.052405356	0.037651796	0.027531077	6.3992135e-06	
4.08	0.048275507	0.046581963	0.052219015	0.037460279	0.027466954	6.3815875e-06	
4.09	0.048078518	0.046396196	0.052033566	0.037269863	0.027403131	6.364051e-06	
4.1	0.047882497	0.046211309	0.051849009	0.037080543	0.027339606	6.3466033e-06	
4.11	0.047687443	0.0460273	0.051665339	0.036892314	0.027276376	6.3292437e-06	
4.12	0.047493351	0.045844167	0.051482554	0.036705169	0.027213439	6.3119716e-06	
4.13	0.047300219	0.045661906	0.051300651	0.036519104	0.027150794	6.2947865e-06	
4.14	0.047108041	0.045480515	0.051119627	0.036334112	0.027088439	6.2776877e-06	
4.15	0.046916816	0.045299991	0.05093948	0.036150189	0.02702637	6.2606745e-06	
4.16	0.046726539	0.045120331	0.050760206	0.035967328	0.026964587	6.2437465e-06	
4.17	0.046537206	0.044941532	0.050581802	0.035785524	0.026903087	6.2269031e-06	
4.18	0.046348814	0.044763591	0.050404265	0.035604772	0.026841869	6.2101435e-06	
4.19	0.04616136	0.044586506	0.050227593	0.035425065	0.026780929	6.1934673e-06	
4.2	0.045974839	0.044410272	0.050051782	0.035246398	0.026720268	6.1768739e-06	
4.21	0.045789248	0.044234888	0.049876828	0.035068766	0.026659882	6.1603627e-06	
4.22	0.045604583	0.044060349	0.049702729	0.034892162	0.02659977	6.1439332e-06	
4.23	0.04542084	0.043886653	0.049529482	0.034716582	0.026539929	6.1275847e-06	
4.24	0.045238016	0.043713797	0.049357083	0.034542019	0.026480359	6.1113168e-06	
4.25	0.045056106	0.043541777	0.049185528	0.034368468	0.026421056	6.0951288e-06	
4.26	0.044875106	0.043370591	0.049014816	0.034195924	0.02636202	6.0790202e-06	
4.27	0.044695014	0.043200235	0.048844942	0.03402438	0.026303249	6.0629905e-06	
4.28	0.044515824	0.043030705	0.048675903	0.033853832	0.02624474	6.0470391e-06	
4.29	0.044337533	0.042861999	0.048507695	0.033684273	0.026186492	6.0311656e-06	
4.3	0.044160137	0.042694113	0.048340316	0.033515698	0.026128503	6.0153693e-06	
4.31	0.043983632	0.042527044	0.048173761	0.033348101	0.026070772	5.9996498e-06	
4.32	0.043808014	0.042360789	0.048008028	0.033181478	0.026013297	5.9840065e-06	
4.33	0.043633279	0.042195344	0.047843113	0.033015822	0.025956075	5.9684389e-06	
4.34	0.043459423	0.042030706	0.047679013	0.032851127	0.025899106	5.9529465e-06	
4.35	0.043286442	0.041866871	0.047515723	0.032687389	0.025842388	5.9375288e-06	
4.36	0.043114332	0.041703836	0.047353241	0.032524601	0.025785918	5.9221853e-06	
4.37	0.042943089	0.041541598	0.047191563	0.032362759	0.025729696	5.9069155e-06	
4.38	0.042772709	0.041380153	0.047030686	0.032201856	0.02567372	5.8917189e-06	
4.39	0.042603188	0.041219498	0.046870606	0.032041888	0.025617987	5.8765949e-06	
4.4	0.042434522	0.041059629	0.046711319	0.031882848	0.025562498	5.8615432e-06	
4.41	0.042266707	0.040900543	0.046552823	0.031724732	0.025507249	5.8465632e-06	
4.42	0.042099738	0.040742236	0.046395113	0.031567533	0.025452239	5.8316545e-06	
4.43	0.041933613	0.040584705	0.046238185	0.031411248	0.025397467	5.8168165e-06	
4.44	0.041768325	0.040427947	0.046082037	0.031255869	0.025342932	5.8020489e-06	
4.45	0.041603873	0.040271958	0.045926665	0.031101392	0.025288631	5.7873511e-06	
4.46	0.041440251	0.040116734	0.045772065	0.030947811	0.025234563	5.7727226e-06	
4.47	0.041277455	0.039962272	0.045618234	0.030795121	0.025180727	5.7581631e-06	
4.48	0.041115482	0.039808568	0.045465167	0.030643317	0.025127121	5.7436721e-06	
4.49	0.040954328	0.03965562	0.045312862	0.030492393	0.025073743	5.729249e-06	
4.5	0.040793987	0.039503423	0.045161315	0.030342345	0.025020593	5.7148935e-06	
4.51	0.040634457	0.039351974	0.045010522	0.030193166	0.024967669	5.7006051e-06	
4.52	0.040475733	0.039201269	0.04486048	0.030044852	0.024914969	5.6863834e-06	
4.53	0.040317811	0.039051305	0.044711185	0.029897397	0.024862492	5.672228e-06	
4.54	0.040160688	0.038902078	0.044562634	0.029750796	0.024810236	5.6581383e-06	
4.55	0.040004358	0.038753585	0.044414822	0.029605044	0.0247582	5.644114e-06	
4.56	0.039848818	0.038605823	0.044267747	0.029460136	0.024706383	5.6301546e-06	
4.57	0.039694065	0.038458787	0.044121404	0.029316066	0.024654783	5.6162598e-06	
4.58	0.039540093	0.038312474	0.043975791	0.02917283	0.024603399	5.6024291e-06	
4.59	0.039386899	0.038166882	0.043830903	0.029030423	0.02455223	5.588662e-06	
4.6	0.039234479	0.038022005	0.043686737	0.028888838	0.024501274	5.5749583e-06	
4.61	0.039082829	0.037877842	0.043543289	0.028748072	0.024450529	5.5613174e-06	
4.62	0.038931945	0.037734387	0.043400556	0.02860812	0.024399995	5.5477389e-06	
4.63	0.038781823	0.037591638	0.043258535	0.028468975	0.024349671	5.5342225e-06	
4.64	0.038632459	0.037449592	0.043117221	0.028330634	0.024299554	5.5207678e-06	
4.65	0.038483849	0.037308244	0.042976612	0.028193091	0.024249644	5.5073743e-06	
4.66	0.038335989	0.037167591	0.042836703	0.028056341	0.024199939	5.4940416e-06	
4.67	0.038188875	0.03702763	0.042697491	0.02792038	0.024150438	5.4807695e-06	
4.68	0.038042503	0.036888358	0.042558972	0.027785203	0.02410114	5.4675574e-06	
4.69	0.037896869	0.03674977	0.042421144	0.027650804	0.024052043	5.454405e-06	
4.7	0.037751969	0.036611864	0.042284002	0.027517179	0.024003147	5.441312e-06	
4.71	0.0376078	0.036474635	0.042147543	0.027384323	0.02395445	5.4282779e-06	
4.72	0.037464357	0.036338081	0.042011763	0.027252231	0.023905951	5.4153023e-06	
4.73	0.037321637	0.036202198	0.041876659	0.027120898	0.023857648	5.402385e-06	
4.74	0.037179635	0.036066983	0.041742228	0.026990321	0.023809541	5.3895255e-06	
4.75	0.037038349	0.035932431	0.041608466	0.026860493	0.023761628	5.3767234e-06	
4.76	0.036897773	0.035798541	0.041475369	0.02673141	0.023713908	5.3639784e-06	
4.77	0.036757904	0.035665307	0.041342934	0.026603069	0.02366638	5.3512902e-06	
4.78	0.036618739	0.035532728	0.041211157	0.026475463	0.023619042	5.3386584e-06	
